CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY_VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN
1	1	Unknown	0	0	0	0	0	0	0	0	0	1
1	2	Adjective	1	0	0	0	0	0	0	0	0	0
1	3	Noun	1	0	0	0	0	0	0	0	0	0
1	4	Noun	1	0	0	0	0	0	0	0	0	0
1	5	Pronoun	1	0	0	0	0	0	0	0	0	0
1	6	Noun	1	0	0	0	0	0	0	0	0	0
1	7	Noun	1	0	0	0	0	0	0	0	0	0
1	8	Noun	1	0	0	0	0	0	0	0	0	0
1	9	Adjective	0	0	0	0	0	0	0	0	0	0
2	1	Noun	18	0	6	3	0	1	0	0	0	3
2	2	Verb	12	0	10	7	0	0	0	0	0	2
2	3	Noun	14	0	7	6	0	0	0	0	0	4
2	4	Noun	18	0	5	4	1	2	0	0	0	1
2	5	Verb	17	0	8	4	0	0	0	0	0	2
2	6	Noun	18	0	3	7	2	0	0	0	1	0
2	7	Noun	16	0	9	5	0	0	0	0	0	1
2	8	Noun	13	0	8	5	1	0	0	0	0	4
2	9	Adjective	15	0	4	3	0	5	0	0	0	0
3	1	Noun	18	0	6	14	2	1	0	0	0	10
3	2	Verb	21	0	11	10	0	0	0	0	0	9
3	3	Noun	28	0	11	5	1	3	0	0	0	3
3	4	Pronoun	24	0	10	12	1	2	0	0	0	2
3	5	Noun	30	0	13	5	0	1	0	0	0	2
3	6	Noun	19	0	12	6	2	2	0	0	0	3
4	1	Noun	25	0	10	8	0	0	0	0	0	9
4	2	Noun	30	0	7	10	0	0	0	0	0	5
4	3	Noun	22	0	9	6	1	6	0	0	0	8
4	4	Preposition	25	0	10	7	0	5	0	0	0	5
4	5	Noun	18	0	9	11	0	1	0	0	0	2
5	1	Noun	25	0	11	11	0	3	0	0	0	9
5	2	Noun	30	0	4	17	0	0	0	0	0	8
5	3	Adverb	33	0	10	9	0	2	0	0	0	5
5	4	Noun	24	0	16	12	2	1	0	0	0	4
5	5	Noun	34	0	5	16	0	1	0	0	0	3
5	6	Noun	28	0	9	8	2	2	0	0	0	3
6	1	Adverb	28	0	7	11	0	0	0	0	0	11
6	2	Noun	31	0	8	12	0	2	0	0	0	4
6	3	Noun	28	0	7	6	0	6	0	0	0	10
6	4	Adverb	28	0	11	12	1	2	0	0	0	3
6	5	Noun	38	0	6	7	2	2	0	0	0	2
6	6	Noun	26	0	8	12	0	1	0	0	0	2
7	1	Noun	32	0	12	12	1	0	0	0	0	11
7	2	Verb	35	0	10	14	1	2	0	0	0	6
7	3	Noun	29	0	11	14	1	6	0	0	0	7
7	4	Noun	33	0	12	14	1	3	0	0	0	5
7	5	Preposition	35	0	17	12	0	3	0	0	0	1
7	6	Noun	27	0	10	12	0	3	0	0	0	1
8	1	Noun	31	0	14	19	0	0	0	0	0	16
8	2	Adverb	35	0	15	17	1	8	0	0	0	4
8	3	Noun	47	0	12	14	0	2	0	0	0	5
8	4	Noun	36	0	12	20	2	3	0	0	0	7
8	5	Noun	31	0	9	11	0	5	0	0	0	2
9	1	Noun	26	0	6	6	0	1	0	0	0	10
9	2	Adverb	28	0	10	6	0	3	0	0	0	2
9	3	Noun	21	0	8	9	1	2	0	0	0	8
9	4	Noun	29	0	5	5	1	4	0	0	0	5
9	5	Noun	17	0	14	11	0	3	0	0	0	4
9	6	Verb	25	0	7	12	0	2	0	0	0	3
9	7	Noun	26	0	6	8	1	1	0	0	0	1
